name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Oslo,1/1/2022,-0.5,-5.5,-2.9,-0.9,-9,-4.8,-3.5,95.6,6.045,100,29.17,"rain,snow",4.4,16.2,17.6,11.2,27.9,1014.8,83.1,7.2,2.6,0,0,,2022-01-01T09:18:32,2022-01-01T15:22:51,0.95,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,D1065,01384099999,ENGM"
Oslo,1/2/2022,1.2,-1.2,0.1,0.7,-4.7,-1.9,-0.1,97.9,0,0,0,,2.3,20.6,13.7,12.4,246.8,998.4,92.5,1.7,1.4,0,0,,2022-01-02T09:18:01,2022-01-02T15:24:20,0,Overcast,Cloudy skies throughout the day.,snow,"01485099999,ENRY,01492099999,D9780,01484399999,D1065,01384099999,ENGM"
Oslo,1/3/2022,3.1,-1.3,0.7,3.1,-4.1,-0.6,-0.1,94.7,0.391,100,20.83,"rain,snow",0,19,38.2,21.1,236.6,987.3,88.4,9.2,1.9,0,0,,2022-01-03T09:17:25,2022-01-03T15:25:52,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"01485099999,ENRY,01492099999,D9780,01484399999,D1065,01384099999,D6979,ENGM"
Oslo,1/4/2022,0,-3.9,-2.5,0,-9,-4.8,-4.1,88.9,0,0,0,,0,16.1,21.6,17.5,316.7,981.3,73.6,36.3,11.4,1,1,,2022-01-04T09:16:44,2022-01-04T15:27:29,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01485099999,ENRY,01492099999,D9780,01473099999,01494099999,01484399999,01477099999,01384099999,ENGM"
Oslo,1/5/2022,-0.1,-5.1,-2.7,-2.7,-10.8,-7.2,-6.4,76,146.181,100,4.17,snow,0,15.8,41.4,23.8,352.7,990.1,67,33.2,9.9,0.8,1,,2022-01-05T09:15:58,2022-01-05T15:29:11,0.09,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,01384099999,ENGM"
Oslo,1/6/2022,-1.7,-13.8,-6.6,-4.1,-14.2,-9,-9.9,78.5,140.821,100,4.17,snow,0.5,16,31,18.8,4.7,1009.1,55.3,32.1,11,0.9,1,,2022-01-06T09:15:07,2022-01-06T15:30:56,0.12,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"01485099999,ENRY,01488099999,01492099999,D9780,01494099999,01473099999,01484399999,01384099999,ENGM"
Oslo,1/7/2022,-2.7,-12.4,-5.5,-7.3,-18.9,-10.4,-7,89.4,7.527,100,79.17,snow,6,18.5,38,23,26.2,1003.2,93,9.5,1.6,0,0,,2022-01-07T09:14:11,2022-01-07T15:32:45,0.15,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"01485099999,ENRY,01492099999,D9780,01484399999,D1065,01384099999,ENGM"
Oslo,1/8/2022,-2.5,-5.2,-3.4,-5.5,-9.9,-8.2,-5.2,87.2,5.734,100,45.83,snow,3.4,25,36.2,21.8,24.7,999.9,92.2,15.4,1.7,0,0,,2022-01-08T09:13:11,2022-01-08T15:34:38,0.19,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"01485099999,ENRY,01492099999,D9780,01473099999,01494099999,01484399999,D1065,01490099999,01384099999,ENGM"
Oslo,1/9/2022,-1,-2.8,-1.8,-6.1,-8.8,-6.8,-3.6,87.4,3.525,100,16.67,"rain,snow",0,24.8,38,20.7,37.5,1004.3,95.4,27.7,2.6,0.1,0,,2022-01-09T09:12:06,2022-01-09T15:36:34,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"01485099999,ENRY,01460099999,01492099999,D9780,01494099999,E4699,01484399999,D1065,01384099999,ENGM"
Oslo,1/10/2022,-0.5,-2.1,-1.3,-1.2,-8.2,-5.2,-3.4,85.9,0.248,100,16.67,"rain,snow",0.2,24,33.5,28.4,73.3,1025.6,94,27.6,3.2,0,0,10,2022-01-10T09:10:56,2022-01-10T15:38:34,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"01485099999,ENRY,01492099999,01494099999,01484399999,D1065,01493099999,01384099999,D6979,ENGM"
Oslo,1/11/2022,2.1,-1.1,1.3,1.4,-5.9,-2.3,0.7,95.3,2.657,100,37.5,"rain,snow",0.1,22.2,47.5,26.1,181.1,1025.4,89,8.4,2.2,0,0,10,2022-01-11T09:09:42,2022-01-11T15:40:36,0.29,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,D1065,01384099999,E1039,ENGM"
Oslo,1/12/2022,3.4,-0.7,1.2,1.7,-5.3,-1.9,0.5,95,0,0,0,,0,19.9,35.3,26.2,208.5,1020.3,67.3,11.4,8.8,0.7,0,10,2022-01-12T09:08:25,2022-01-12T15:42:42,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,01490099999,01384099999,ENGM"
Oslo,1/13/2022,12,0.8,5,12,-1.9,2.6,1.1,77.9,64.21,100,4.17,rain,0,18.5,68.4,31.2,217.6,1011,77.4,39.2,9.6,0.8,0,10,2022-01-13T09:07:02,2022-01-13T15:44:51,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"01485099999,ENRY,01460099999,01492099999,D9780,01494099999,01473099999,01484399999,01493099999,01384099999,ENGM"
Oslo,1/14/2022,10.6,-3.2,4.2,10.6,-7.3,1,-6.6,46.1,0.002,100,4.17,rain,0,16,71.5,36,298,1016.5,61.8,30.2,17.4,1.5,1,10,2022-01-14T09:05:36,2022-01-14T15:47:02,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"01492099999,D9780,01473099999,01493099999,01477099999,01384099999,ENGM,01485099999,ENRY,01494099999,01484399999,01490099999,D6979"
Oslo,1/15/2022,0.2,-3.4,-2,-0.7,-6.6,-3.3,-6,74.7,0,0,0,,0,15.7,23.7,12.8,0.2,1020.9,82.5,34,12.2,1.1,1,10,2022-01-15T09:04:07,2022-01-15T15:49:16,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,01493099999,01384099999,ENGM"
Oslo,1/16/2022,5.1,-5.5,-0.5,2.8,-7.6,-2.9,-4.3,78.6,0.097,100,4.17,rain,0,15.4,65.3,32.4,257,1001.7,73,24.7,12.8,1.1,1,10,2022-01-16T09:02:33,2022-01-16T15:51:32,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"01485099999,ENRY,01488099999,01492099999,D9780,01494099999,01473099999,01484399999,01493099999,01384099999,ENGM"
Oslo,1/17/2022,3.6,-2.3,0.9,1.4,-5.6,-3.1,-9.7,45.7,0.195,100,4.17,snow,0,15.2,62.3,28.7,306.1,1012.8,76.3,30.1,18.8,1.5,1,10,2022-01-17T09:00:56,2022-01-17T15:53:51,0.48,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,rain,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,D1065,01493099999,01384099999,D6979,ENGM"
Oslo,1/18/2022,2.4,-5.7,-2.7,0.2,-9.5,-4.6,-5.6,80.5,128.02,100,4.17,snow,0,14.9,15.6,10.9,359.3,1022.8,85.3,24.8,13.1,1.2,1,10,2022-01-18T08:59:15,2022-01-18T15:56:12,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"01485099999,ENRY,01492099999,D9780,01494099999,01473099999,01484399999,D1065,01493099999,01384099999,ENGM"
Oslo,1/19/2022,4.6,-1.7,1.7,1.9,-7.6,-2.3,-1.7,79.7,0.138,100,8.33,"rain,snow",0,14.4,65.3,37.1,265.6,1001.5,77.2,18.8,6.2,0.6,0,10,2022-01-19T08:57:31,2022-01-19T15:58:34,0.55,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"01485099999,ENRY,01492099999,D9780,01494099999,01473099999,01484399999,01493099999,01384099999,ENGM"
Oslo,1/20/2022,1,-2.6,-0.7,-4.2,-8.7,-6,-11.1,45.7,0,0,0,,0,13.2,68.4,31.2,325,1010.6,54.8,38.2,24,2.1,1,10,2022-01-20T08:55:43,2022-01-20T16:00:59,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01488099999,01492099999,D9780,01473099999,01481099999,01493099999,01384099999,ENGM,01485099999,ENRY,01460099999,01494099999,01484399999"
Oslo,1/21/2022,3.1,-5,-1,1.6,-8.5,-2.3,-6.5,66.3,42.807,100,4.17,"rain,snow",0,13,40.7,13.1,346,1019.8,76,30.3,18.7,1.5,1,10,2022-01-21T08:53:53,2022-01-21T16:03:25,0.62,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"01485099999,ENRY,01492099999,D9780,01494099999,01473099999,01484399999,01493099999,01384099999,D6979,01480099999,ENGM"
Oslo,1/22/2022,1.1,-3.8,-0.5,1.1,-6.3,-2.3,-3.4,81.2,0,0,0,,0,12.5,14.8,15.6,191.2,1023.3,85.9,26.5,14.3,1.4,1,10,2022-01-22T08:51:59,2022-01-22T16:05:52,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01485099999,ENRY,01492099999,D9780,01494099999,01473099999,01484399999,01493099999,01384099999,E1039,ENGM"
Oslo,1/23/2022,2.8,-2.1,-0.6,0.4,-5.9,-2.6,-1.2,96.2,0,0,0,,0,12.2,19.2,18.1,211.2,1023.7,95.4,1.4,12.8,1.1,1,10,2022-01-23T08:50:02,2022-01-23T16:08:21,0.69,Overcast,Cloudy skies throughout the day.,cloudy,"01469099999,01492099999,D9780,01473099999,01477099999,01493099999,01384099999,ENGM,01485099999,ENRY,01460099999,01494099999,01484399999,01490099999,D6979"
Oslo,1/24/2022,2.8,-2.2,-0.1,-0.5,-5.6,-2.5,-1.2,92.5,0,0,0,,0,11.8,18.7,28.1,240.2,1019.4,58.3,9.8,14.2,1.1,1,10,2022-01-24T08:48:03,2022-01-24T16:10:52,0.73,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"01485099999,ENRY,01488099999,01492099999,D9780,01494099999,01484399999,D1065,01493099999,01384099999,D6979,ENGM"
Oslo,1/25/2022,2.1,-3.9,-0.9,0.9,-7,-3.2,-3.7,81.5,0,0,0,,0.3,11.7,16.1,11.7,268.7,1022.2,72.1,19.6,32.1,2.7,2,10,2022-01-25T08:46:01,2022-01-25T16:13:23,0.75,Partially cloudy,Partly cloudy throughout the day.,snow,"01485099999,ENRY,01492099999,D9780,01494099999,01463099999,01484399999,01493099999,01477099999,01384099999,ENGM"
Oslo,1/26/2022,6,-2.3,1.9,3.7,-5.9,-1,-2.7,74,0,0,0,,0.2,11.9,35.9,22.8,240.1,1008.2,81.4,24.7,25.7,2.2,2,10,2022-01-26T08:43:56,2022-01-26T16:15:56,0.8,Partially cloudy,Partly cloudy throughout the day.,snow,"01492099999,D9780,01473099999,01493099999,01477099999,01384099999,E1039,ENGM,01485099999,ENRY,01460099999,01494099999,01484399999,01490099999"
Oslo,1/27/2022,6.1,2.6,4.3,5.9,-3.4,1.1,-0.8,71.7,0,0,0,,0,11.5,53.1,34,311,993.6,86.7,28.7,23.6,1.9,1,10,2022-01-27T08:41:48,2022-01-27T16:18:29,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,01493099999,01490099999,01477099999,01384099999,E1039,ENGM"
Oslo,1/28/2022,5.5,-0.9,1.5,1.6,-5.2,-1.9,-6.6,55.2,108.325,100,4.17,"rain,snow",0.2,10.4,40.1,26.9,230.8,1015.8,71.8,36,21.5,1.8,1,10,2022-01-28T08:39:38,2022-01-28T16:21:04,0.87,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"01485099999,ENRY,01492099999,D9780,01494099999,01473099999,01484399999,01493099999,01384099999,D6979,ENGM"
Oslo,1/29/2022,8.5,1.6,4.4,4.6,-3.7,0.9,0.3,78.4,1.825,100,8.33,"rain,snow",0,9.4,76.2,36.9,238.4,986.2,83.1,37.7,17.1,1.5,1,10,2022-01-29T08:37:26,2022-01-29T16:23:39,0.9,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"01485099999,ENRY,01492099999,D9780,01494099999,01473099999,01484399999,01493099999,01384099999,ENGM"
Oslo,1/30/2022,6,-4,2.9,1.5,-5.9,-1.3,-8.3,44.8,98.477,100,4.17,rain,0.2,8.5,75.1,52.6,337.2,1003.3,66,34.8,35,3,2,10,2022-01-30T08:35:11,2022-01-30T16:26:15,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"01469099999,01492099999,D9780,01477099999,01493099999,01384099999,ENGM,01485099999,ENRY,01460099999,01494099999,01484399999,01490099999"
Oslo,1/31/2022,-2,-7.2,-4.9,-2,-11.4,-7.3,-8.6,75.6,98.477,100,4.17,snow,0.2,8.6,15.7,10.7,354,1006.9,75.1,30.3,20.3,1.7,1,10,2022-01-31T08:32:54,2022-01-31T16:28:51,0.97,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,01493099999,01384099999,ENGM"
Oslo,2/1/2022,-4,-9.1,-5.7,-5.2,-13.1,-9.4,-7.4,88.1,3.157,100,41.67,snow,5.7,10.3,21.2,16.5,30.1,996.1,80.8,15.6,7.7,0.7,0,10,2022-02-01T08:30:35,2022-02-01T16:31:28,0,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"01492099999,D9780,01463099999,01473099999,01477099999,01493099999,01384099999,E1039,ENGM,01485099999,ENRY,01466099999,01460099999,01494099999,01484399999,01490099999"
Oslo,2/2/2022,-3.4,-9.1,-6.1,-3.6,-13.7,-9.3,-8,86.5,5.949,100,16.67,snow,3.4,16.7,23.4,18,10.7,1003.5,69,23.4,45.3,3.7,3,10,2022-02-02T08:28:14,2022-02-02T16:34:05,0.04,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"01485099999,ENRY,01492099999,D9780,01494099999,01473099999,01484399999,01493099999,01384099999,ENGM"
Oslo,2/3/2022,-3,-8.7,-5.7,-6.4,-12.3,-9,-7,90.2,2.385,100,41.67,snow,0.2,16.8,22,11.7,41.3,1006.3,95.2,16.8,8.1,0.6,0,10,2022-02-03T08:25:50,2022-02-03T16:36:42,0.07,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"01485099999,ENRY,01492099999,D9780,01494099999,01473099999,01484399999,D1065,01493099999,01384099999,ENGM"
Oslo,2/4/2022,3.5,-3.5,0.5,0.3,-7.4,-3.2,-1.2,88.5,1.324,100,25,"rain,snow",0.1,16.8,51.5,24,221.7,989.9,78.6,13.6,22.4,1.8,1,10,2022-02-04T08:23:25,2022-02-04T16:39:20,0.1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,01493099999,01384099999,ENGM"
Oslo,2/5/2022,3.6,-4.8,-0.1,1.1,-6.3,-3,-3.2,81.1,1.083,100,4.17,"rain,snow",0,16.5,51.5,33.4,204.5,989.8,71.1,34.4,40.8,3.5,2,10,2022-02-05T08:20:59,2022-02-05T16:41:58,0.14,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"01485099999,ENRY,01460099999,01492099999,D9780,01494099999,01484399999,01493099999,01384099999,ENGM"
Oslo,2/6/2022,3.2,-3.1,0.3,3.2,-7.3,-3.5,-3.9,74.2,0,0,0,,0,15.7,40.7,22.3,216.8,979.3,41.8,27.9,37.4,3,2,10,2022-02-06T08:18:30,2022-02-06T16:44:36,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01485099999,ENRY,01492099999,D9780,01494099999,01473099999,01484399999,01493099999,01384099999,ENGM"
Oslo,2/7/2022,6.6,-4,0.8,4.4,-8.7,-1.7,-6.1,61.3,0,0,0,snow,0,15.6,39.2,26,304,997.4,74.9,32.4,49.4,4.3,2,10,2022-02-07T08:16:00,2022-02-07T16:47:15,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01492099999,D9780,01473099999,01477099999,01493099999,01384099999,ENGM,01485099999,ENRY,01460099999,01494099999,01484399999,01490099999"
Oslo,2/8/2022,7.6,-1.5,2.8,5,-2.7,0.3,-2.7,69,0,0,0,,0,15.3,42.4,20.8,216,1001.1,55.1,33.3,51.4,4.7,2,10,2022-02-08T08:13:28,2022-02-08T16:49:53,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,01493099999,01384099999,ENGM"
Oslo,2/9/2022,6.5,-0.9,2.3,2.6,-5.2,-1.5,-3.5,67.5,0,0,0,,0,15.2,54.4,25.2,219,1001.1,46.1,41.3,53.3,4.6,3,10,2022-02-09T08:10:54,2022-02-09T16:52:31,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,01493099999,01384099999,ENGM"
Oslo,2/10/2022,4.6,-2.6,0.9,1.5,-4.7,-2,-5.2,64.3,167.411,100,4.17,"rain,snow",0,15.1,43.9,21.3,210.4,1002.5,65.1,40.2,42.3,3.6,2,10,2022-02-10T08:08:19,2022-02-10T16:55:09,0.3,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"01485099999,ENRY,01469099999,01492099999,D9780,01494099999,01484399999,01493099999,01477099999,01384099999,01480099999,ENGM"
