name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Perth,1/1/2022,26.4,17.8,22.2,26.4,17.8,22.2,12.4,54.6,0,0,0,,0,0,,24.2,177.7,1010.4,1.7,14.8,352.5,30.4,10,,2022-01-01T05:14:04,2022-01-01T19:25:48,0.94,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,1/2/2022,30.4,17.2,23.8,29.6,17.2,23.6,11.6,47.5,0,0,0,,0,0,,21.9,154.7,1010.9,11,14.8,354.1,30.6,10,,2022-01-02T05:14:48,2022-01-02T19:26:00,0.98,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,1/3/2022,30.6,17.3,24.3,30.2,17.3,24.3,14.8,56.7,0,0,0,,0,0,,21.3,197,1010.8,13.7,14.8,345.5,29.9,10,,2022-01-03T05:15:33,2022-01-03T19:26:10,0,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,1/4/2022,33.8,18.8,26.6,32.5,18.8,26.1,13,45.6,0,0,0,,0,0,,20.3,127.9,1013.8,21.9,15,346.2,30.1,10,,2022-01-04T05:16:19,2022-01-04T19:26:18,0.05,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,1/5/2022,33,18.7,25.1,32.4,18.7,25,14.7,54.4,0,0,0,,0,0,,20,145.8,1012.8,0,14.6,363.6,31.6,10,,2022-01-05T05:17:05,2022-01-05T19:26:24,0.08,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,1/6/2022,32.5,19.2,26.6,32.4,19.2,26.6,16.6,57.2,0,0,0,,0,0,,22.1,207.2,1010.8,0.1,14.5,346.6,30,10,,2022-01-06T05:17:53,2022-01-06T19:26:29,0.11,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,1/7/2022,36.1,21,28.1,35.1,21,27.8,13.5,42.5,0,0,0,,0,0,,20.2,140.2,1011.4,4.8,14.8,345.8,30,10,,2022-01-07T05:18:41,2022-01-07T19:26:32,0.14,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,1/8/2022,30,20.2,25,29,20.2,24.9,13.3,49.3,0,0,0,,0,0,,30.2,197.1,1008.7,6.9,14.3,343.2,29.7,10,,2022-01-08T05:19:31,2022-01-08T19:26:34,0.18,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,1/9/2022,24.9,16.2,20.4,24.9,16.2,20.4,10.5,54.1,0,0,0,,0,0,,26.2,195,1015,18.8,14.4,333.1,28.9,10,,2022-01-09T05:20:21,2022-01-09T19:26:33,0.21,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,YPPH,95610099999,94612099999,YPJT,94602099999,94614099999,94608099999"
Perth,1/10/2022,27.7,16.1,21.9,26.7,16.1,21.9,8.4,43.1,0,0,0,,0,0,34.6,17.5,128.7,1017.3,44.3,14.8,305.1,26.5,10,10,2022-01-10T05:21:12,2022-01-10T19:26:31,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
